data,temperature_2m_max,temperature_2m_min,precipitation_sum,weather_code
2024-08-20,28.9,20.2,0.0,3
2024-08-21,25.5,18.5,0.0,3
2024-08-22,30.1,18.6,0.0,3
2024-08-23,34.4,21.2,0.0,0
2024-08-24,27.1,20.8,4.0,63
2024-08-25,21.1,17.6,9.4,63
2024-08-26,18.5,15.7,22.3,63
2024-08-27,20.2,15.6,0.0,2
2024-08-28,22.7,15.9,0.0,2
2024-08-29,24.6,17.1,0.0,2
2024-08-30,28.0,17.2,0.0,0
2024-08-31,25.3,18.0,0.0,3
2024-09-01,28.3,18.3,0.0,3
2024-09-02,24.7,21.0,0.6,51
2024-09-03,24.7,20.1,0.1,51
2024-09-04,27.0,18.5,0.0,2
2024-09-05,29.2,18.9,0.0,3
2024-09-06,23.4,21.1,1.9,53
2024-09-07,26.7,20.1,0.0,3
2024-09-08,29.4,20.9,0.0,0
2024-09-09,29.8,20.3,0.0,0
2024-09-10,31.2,19.9,0.0,3
2024-09-11,35.3,21.5,0.0,3
2024-09-12,34.4,22.6,0.0,1
2024-09-13,31.3,23.3,0.0,3
2024-09-14,34.3,22.4,0.0,3
2024-09-15,24.8,22.0,1.7,51
2024-09-16,26.8,21.4,0.7,51
2024-09-17,22.2,20.4,2.7,55
2024-09-18,25.1,18.8,0.3,51
2024-09-19,27.4,18.6,0.0,2
2024-09-20,30.7,20.1,0.0,1
2024-09-21,29.6,20.9,0.0,3
2024-09-22,28.3,21.8,0.2,51
2024-09-23,29.9,20.9,0.0,0
2024-09-24,29.2,20.8,0.0,0
2024-09-25,31.5,21.1,0.0,0
2024-09-26,33.9,22.0,0.0,0
2024-09-27,29.4,22.2,4.1,61
2024-09-28,23.8,21.7,2.0,51
2024-09-29,26.4,20.4,0.0,3
2024-09-30,29.6,19.4,0.0,0
2024-10-01,35.2,20.9,0.0,0
2024-10-02,37.2,22.7,0.0,2
2024-10-03,26.3,22.4,1.6,51
2024-10-04,22.3,19.7,23.8,63
2024-10-05,23.7,19.1,3.3,55
2024-10-06,24.1,17.8,0.0,2
2024-10-07,24.6,17.6,0.0,3
2024-10-08,25.3,18.5,0.0,3
2024-10-09,24.7,19.7,4.7,55
2024-10-10,24.6,21.0,2.2,53
2024-10-11,30.4,20.8,0.6,53
2024-10-12,32.8,21.9,0.6,51
2024-10-13,24.9,21.0,2.1,53
2024-10-14,24.5,20.1,0.4,51
2024-10-15,25.8,19.6,0.0,3
2024-10-16,27.7,18.6,0.0,3
2024-10-17,25.5,20.4,0.1,51
2024-10-18,24.9,20.1,0.4,51
